"","name","prob.m","prob.w"
"502","Zhen",0.64,0.36
"503","Alice",0.02,0.98
"504","Bertrand",0.96,0.04
"505","Dieter",0.98,0.02
"506","Doris",0.04,0.96
"507","Evan",0.97,0.03
"508","Gyoergy",1,0
"509","Hiroaki",1,0
"510","Kristina",0.02,0.98
"511","Liqun",0.52,0.48
"512","Masahiko",1,0
"513","Michela",0.01,0.99
"514","Ricardo",0.99,0.01
"515","Salvatore",0.99,0.01
"516","Stanislas",0.99,0.01
"517","Terry",0.79,0.21
"518","Tomas",0.99,0.01
"519","Arturo",0.99,0.01
"520","Bettina",0.02,0.98
"521","Clare",0.03,0.97
"522","Claude",0.89,0.11
"523","Edmund",0.99,0.01
"524","Glenn",0.98,0.02
"525","Gregor",0.99,0.01
"526","Guillen",0.73,0.27
"527","Hermann",0.97,0.03
"528","Julian",0.95,0.05
"529","Kristen",0.03,0.97
"530","Luc",0.97,0.03
"531","Natalie",0.02,0.98
"532","Nelson",0.99,0.01
"533","Paula",0.02,0.98
"534","Alvaro",0.99,0.01
"535","Antonello",0.99,0.01
"536","Gyorgy",0.94,0.0600000000000001
"537","Helmut",0.98,0.02
"538","Lennart",0.99,0.01
"539","Luca",0.98,0.02
"540","Max",0.98,0.02
"541","Ming",0.77,0.23
"542","Pieter",0.99,0.01
"543","Sergio",0.99,0.01
"544","Sonia",0.02,0.98
"545","Terrence",0.99,0.01
"546","Arnaud",0.98,0.02
"547","Brandon",1,0
"548","Emilio",0.99,0.01
"549","Ethan",0.99,0.01
"550","Giacomo",0.99,0.01
"551","Johanna",0.02,0.98
"552","Joy",0.21,0.79
"553","Julio",0.96,0.04
"554","Kristin",0.02,0.98
"555","Louise",0.03,0.97
"556","Lucas",0.99,0.01
"557","Malcolm",0.99,0.01
"558","Masaki",0.97,0.03
"559","Mathieu",0.99,0.01
"560","Matt",1,0
"561","Okihide",-1,-1
"562","Olga",0.02,0.98
"563","Rodrigo",0.99,0.01
"564","Sally",0.03,0.97
"565","Sanjay",0.99,0.01
"566","Tetsuya",0.98,0.02
"567","Zoltan",0.99,0.01
"568","Alon",0.96,0.04
"569","Ed",0.98,0.02
"570","Fabio",0.99,0.01
"571","Florence",0.03,0.97
"572","Giulio",0.99,0.01
"573","Graham",0.99,0.01
"574","Henrique",0.99,0.01
"575","Jeroen",0.99,0.01
"576","Julius",0.98,0.02
"577","Kang",0.9,0.1
"578","Kyle",0.98,0.02
"579","Mitchell",0.97,0.03
"580","Pedro",0.99,0.01
"581","Qiang",0.97,0.03
"582","Rolf",0.99,0.01
"583","Troy",0.99,0.01
"584","Vincenzo",0.99,0.01
"585","Vinod",1,0
"586","Wolfram",0.99,0.01
"587","Alexis",0.77,0.23
"588","Allen",0.96,0.04
"589","Arnold",0.98,0.02
"590","Dario",0.99,0.01
"591","Gerard",0.98,0.02
"592","Jenny",0.02,0.98
"593","Joao",0.99,0.01
"594","Josh",0.99,0.01
"595","Katja",0.02,0.98
"596","Marla",0.02,0.98
"597","Martijn",0.99,0.01
"598","Peng",0.84,0.16
"599","Rosa",0.02,0.98
"600","Stan",0.97,0.03
"601","Tatiana",0.02,0.98
"602","Veronique",0.02,0.98
"603","Yael",0.23,0.77
"604","Yuji",0.97,0.03
"605","Andrei",0.98,0.02
"606","Andy",0.95,0.05
"607","Anita",0.02,0.98
"608","Beatrice",0.02,0.98
"609","Carla",0.02,0.98
"610","Celine",0.03,0.97
"611","Frederick",0.99,0.01
"612","Hao",0.84,0.16
"613","Hideki",0.99,0.01
"614","Hua",0.52,0.48
"615","Huda",0.18,0.82
"616","Jaime",0.9,0.1
"617","Jill",0.03,0.97
"618","Jurgen",0.99,0.01
"619","Kate",0.02,0.98
"620","Kent",0.98,0.02
"621","Regina",0.02,0.98
"622","Roman",1,0
"623","Tomoyuki",0.98,0.02
"624","Werner",0.99,0.01
"625","Angel",0,1
"626","Cecilia",0.02,0.98
"627","Davide",0.99,0.01
"628","Don",0.98,0.02
"629","Earl",0.99,0.01
"630","Edith",0.03,0.97
"631","Frances",0.0600000000000001,0.94
"632","Gael",0.93,0.07
"633","Helene",0.02,0.98
"634","Hiroki",0.99,0.01
"635","Ilya",0.97,0.03
"636","Irina",0.02,0.98
"637","Iris",0.03,0.97
"638","Jean-Francois",0.99,0.01
"639","Joerg",0.99,0.01
"640","Marlene",0.02,0.98
"641","Patrice",0.92,0.08
"642","Sheng",0.74,0.26
"643","Silke",0.02,0.98
"644","Stefanie",0.02,0.98
"645","Sung",0.87,0.13
"646","Victoria",0.02,0.98
"647","Alejandro",0.99,0.01
"648","Anja",0.02,0.98
"649","Beatriz",0.02,0.98
"650","Brett",0.98,0.02
"651","Chen",0.63,0.37
"652","Constance",0.03,0.97
"653","Elia",0.61,0.39
"654","Erwin",0.99,0.01
"655","Henning",0.97,0.03
"656","Holger",0.99,0.01
"657","Jean-Philippe",0.97,0.03
"658","Juha",0.99,0.01
"659","Kay",0.46,0.54
"660","Masanobu",1,0
"661","Maxime",0.98,0.02
"662","Norbert",0.99,0.01
"663","Pavel",0.98,0.02
"664","Petra",0.02,0.98
"665","Ruben",0.99,0.01
"666","Shawn",0.93,0.07
"667","Ted",0.98,0.02
"668","Valentin",0.98,0.02
"669","Xiao-Jing",0.37,0.63
"670","Yasuo",1,0
"671","Adriana",0.02,0.98
"672","Angelo",0.98,0.02
"673","Ashley",0.16,0.84
"674","Gian",0.97,0.03
"675","Jeanne",0.03,0.97
